BookId: 15336, title: The Lord of the Rings / The Hobbit, authors: J.R.R. Tolkien, averageRating 4.59, isbn: 0007144083, isbn13: 9780007144082, languageCode: eng, numPages: 1600, ratingCount: 141, textReviewCount: 5, publicationDate: 10/7/2002, publisher: Collins Modern Classics
BookId: 15351, title: The Return of the Shadow: The History of The Lord of the Rings  Part One (The History of Middle-Earth  #6), authors: J.R.R. Tolkien/Christopher Tolkien, averageRating 4.03, isbn: 061808357X, isbn13: 9780618083572, languageCode: eng, numPages: 512, ratingCount: 2343, textReviewCount: 92, publicationDate: 9/1/2000, publisher: Houghton Mifflin
BookId: 15361, title: Les Deux Tours (Le Seigneur des Anneaux  #2), authors: J.R.R. Tolkien/Francis Ledoux, averageRating 4.44, isbn: 2266118013, isbn13: 9782266118019, languageCode: fre, numPages: 471, ratingCount: 75, textReviewCount: 2, publicationDate: 10/8/2001, publisher: Pocket
BookId: 15369, title: The Lord of the Rings, authors: J.R.R. Tolkien/Brian Sibley/Michael Bakewell/Stephen  Oliver/Ian Holm/Michael Hordern/Robert Stephens/John Le Mesurier/Peter Woodthorpe/Gerard  Murphy/Hugh Dickson/Peter Vaughan/Peter Howell, averageRating 4.5, isbn: 0563494859, isbn13: 9780563494850, languageCode: eng, numPages: 15, ratingCount: 2, textReviewCount: 0, publicationDate: 10/6/2003, publisher: BBC Audiobooks
BookId: 15373, title: The Return of the King (The Lord of the Rings  #3), authors: J.R.R. Tolkien, averageRating 4.53, isbn: 0965307794, isbn13: 9780965307796, languageCode: eng, numPages: 440, ratingCount: 202, textReviewCount: 10, publicationDate: 1/1/2001, publisher: Quality Paperback Book Club
BookId: 15407, title: The Lord of the Rings Millennium Edition Boxed Set (The Lord of the Rings  #1-3), authors: J.R.R. Tolkien, averageRating 4.5, isbn: 0618037667, isbn13: 9780618037667, languageCode: eng, numPages: 1472, ratingCount: 120, textReviewCount: 5, publicationDate: 10/10/1999, publisher: Houghton Mifflin
BookId: 16546, title: Pictures by J.R.R. Tolkien, authors: J.R.R. Tolkien/Christopher Tolkien, averageRating 4.47, isbn: 0395606489, isbn13: 9780395606483, languageCode: eng, numPages: 102, ratingCount: 531, textReviewCount: 14, publicationDate: 10/1/1992, publisher: Houghton Mifflin
BookId: 16692, title: Roverandom, authors: J.R.R. Tolkien/Wayne G. Hammond/Christina Scull, averageRating 3.87, isbn: 0395957990, isbn13: 9780395957998, languageCode: eng, numPages: 128, ratingCount: 471, textReviewCount: 70, publicationDate: 6/30/1999, publisher: Houghton Mifflin Harcourt
BookId: 18963, title: Morgoth's Ring (The History of Middle-Earth  #10), authors: J.R.R. Tolkien/Christopher Tolkien, averageRating 4.13, isbn: 0395680921, isbn13: 9780395680926, languageCode: eng, numPages: 478, ratingCount: 1619, textReviewCount: 44, publicationDate: 12/14/1993, publisher: Houghton Mifflin Harcourt
BookId: 18964, title: The War of the Jewels (The History of Middle-Earth  #11), authors: J.R.R. Tolkien/Christopher Tolkien, averageRating 3.93, isbn: 0395710413, isbn13: 9780395710418, languageCode: eng, numPages: 470, ratingCount: 3329, textReviewCount: 15, publicationDate: 12/6/1994, publisher: Houghton Mifflin Harcourt
BookId: 18966, title: The Silmarillion, authors: J.R.R. Tolkien/Christopher Tolkien, averageRating 3.92, isbn: 0261102427, isbn13: 9780261102422, languageCode: eng, numPages: 384, ratingCount: 292, textReviewCount: 40, publicationDate: 2/7/1999, publisher: HarperCollins
BookId: 18977, title: The Silmarillion, authors: J.R.R. Tolkien/Christopher Tolkien, averageRating 3.92, isbn: 0048231533, isbn13: 9780048231536, languageCode: eng, numPages: 441, ratingCount: 368, textReviewCount: 44, publicationDate: 3/12/1979, publisher: Unwin Paperbacks
BookId: 23588, title: J.R.R. Tolkien: Artist and Illustrator, authors: Wayne G. Hammond/Christina Scull/J.R.R. Tolkien, averageRating 4.14, isbn: 0618083618, isbn13: 9780618083619, languageCode: en-US, numPages: 224, ratingCount: 8140, textReviewCount: 32, publicationDate: 10/18/2000, publisher: Mariner Books
BookId: 23591, title: The Children of Húrin, authors: J.R.R. Tolkien/Christopher Tolkien/Alan  Lee, averageRating 3.97, isbn: 0618894640, isbn13: 9780618894642, languageCode: eng, numPages: 313, ratingCount: 2681, textReviewCount: 225, publicationDate: 4/17/2007, publisher: Houghton Mifflin Harcourt
BookId: 23600, title: Sauron Defeated: The History of The Lord of the Rings  Part Four (The History of Middle-Earth  #9), authors: J.R.R. Tolkien/Christopher Tolkien, averageRating 4.01, isbn: 0395606497, isbn13: 9780395606490, languageCode: eng, numPages: 496, ratingCount: 2572, textReviewCount: 41, publicationDate: 10/27/1992, publisher: Houghton Mifflin Harcourt
BookId: 23603, title: Tales from the Perilous Realm, authors: J.R.R. Tolkien, averageRating 4.08, isbn: 0007149123, isbn13: 9780007149124, languageCode: eng, numPages: 178, ratingCount: 3242, textReviewCount: 162, publicationDate: 9/2/2002, publisher: HarperCollins Publishers
BookId: 23617, title: Roverandom, authors: J.R.R. Tolkien/Christina Scull/Wayne G. Hammond, averageRating 3.87, isbn: 0007149115, isbn13: 9780007149117, languageCode: eng, numPages: 116, ratingCount: 8775, textReviewCount: 413, publicationDate: 9/2/2002, publisher: HarperCollins Publishers
BookId: 23625, title: The History of Middle-Earth Index (The History of Middle-Earth  #13), authors: J.R.R. Tolkien/Christopher Tolkien, averageRating 4.25, isbn: 0007137435, isbn13: 9780007137435, languageCode: eng, numPages: 484, ratingCount: 51, textReviewCount: 3, publicationDate: 8/5/2002, publisher: HarperCollins
BookId: 23627, title: The Lost Road and Other Writings (The History of Middle-earth  #5), authors: J.R.R. Tolkien/Christopher Tolkien, averageRating 3.97, isbn: 0261102257, isbn13: 9780261102255, languageCode: eng, numPages: 455, ratingCount: 97, textReviewCount: 10, publicationDate: 6/5/2002, publisher: HarperCollins
BookId: 23643, title: Faërie, authors: J.R.R. Tolkien/Francis Ledoux, averageRating 3.54, isbn: 2266102710, isbn13: 9782266102711, languageCode: fre, numPages: 217, ratingCount: 89, textReviewCount: 2, publicationDate: 11/20/2003, publisher: Pocket
BookId: 23653, title: The Hobbit  or  There and Back Again, authors: J.R.R. Tolkien/Alan  Lee, averageRating 4.27, isbn: 026110330X, isbn13: 9780261103306, languageCode: eng, numPages: 289, ratingCount: 559, textReviewCount: 55, publicationDate: 9/15/1997, publisher: Houghton Mifflin Company
BookId: 28850, title: The Return of the King (The Lord of the Rings  #3), authors: J.R.R. Tolkien/Rob Inglis, averageRating 4.53, isbn: 0788789848, isbn13: 9780788789847, languageCode: eng, numPages: 16, ratingCount: 3529, textReviewCount: 171, publicationDate: 7/23/2001, publisher: Recorded Books  Inc.
BookId: 28854, title: The Book of Lost Tales  Part Two (The History of Middle-earth  #2), authors: J.R.R. Tolkien/Christopher Tolkien, averageRating 3.86, isbn: 0261102141, isbn13: 9780261102149, languageCode: eng, numPages: 385, ratingCount: 203, textReviewCount: 12, publicationDate: 5/7/2002, publisher: HarperCollinsPublishers
BookId: 35735, title: The Silmarillion  Volume 3, authors: J.R.R. Tolkien/Martin Shaw, averageRating 4.19, isbn: 0553525026, isbn13: 9780553525021, languageCode: eng, numPages: 0, ratingCount: 60, textReviewCount: 4, publicationDate: 9/1/1998, publisher: Random House Audio
